Fecha,A3_TmaxC,A3_TminC,A4_TmaxC,A4_TminC,B3_TmaxC,B3_TminC,B4_TmaxC,B4_TminC,C1_TmaxC,C1_TminC,C2_TmaxC,C2_TminC,C3_TmaxC,C3_TminC,C4_TmaxC,C4_TminC,D1_TmaxC,D1_TminC,D2_TmaxC,D2_TminC,D3_TmaxC,D3_TminC,E1_TmaxC,E1_TminC
2014-01-01 00:00:00,0.02639898457780822,0.01685967946630137,0.007888765223561644,0.004739455816712329,0.04509690602739726,0.020076345826027398,0.03246820390109589,0.019627691378630133,0.04154781757698629,0.021659346248767124,0.010033349339334637,0.0025843881788649705,0.02814896737349315,0.011387181369143833,0.017395240815342466,0.009316114440273972,0.026407950935981733,0.01189697015173516,0.07301117753321681,0.026828670465517238,0.07919278838086956,0.042009938179154264,0.014927672252888888,0.0071905029746666665
2014-01-02 00:00:00,0.024397691249041096,0.018996469692876713,0.007927200560821917,0.006078119414794521,0.04382396467150685,0.028215346964931505,0.033527987329041095,0.02482945123150685,0.043462709467945206,0.026326224071780823,0.012657505352054794,0.005270320611350293,0.027430516439897263,0.018086367948767123,0.019148903779178078,0.015626155488767123,0.028398098977305938,0.017315792651415526,0.08823976394863486,0.05062717922021728,0.09149597136576534,0.06340884305553307,0.018299074064444445,0.01028863477288889
2014-01-03 00:00:00,0.02799618282520548,0.017227874730136986,0.008974367753150685,0.005991484657534246,0.050648714873698625,0.0301263163920548,0.040836128353424664,0.02686467094328767,0.04263415760712329,0.0259535863169863,0.01247808013287671,0.006434241247358121,0.03186408065839041,0.019873555533801372,0.020919369780547946,0.015502712219726027,0.028201496406986305,0.01858219176922374,0.09363359439448278,0.05318200674113367,0.10598644246730198,0.07265178651842766,0.019396546505777778,0.010764978500888889
2014-01-04 00:00:00,0.029372088863561647,0.01746082836630137,0.008640295233972603,0.005000417986849315,0.05209756680821918,0.025561779527671236,0.03953974141726027,0.021903417286301373,0.035599827824109594,0.016541179211232878,0.010567935953620352,0.005373029963796478,0.033562402329315066,0.013622543305856166,0.02004397046712329,0.008460759049041094,0.023782901694657542,0.010045036332831051,0.08303608332221069,0.022026423962097308,0.09405899381329363,0.03151257445698631,0.014762106187111112,-0.0006234119360000005
2014-01-05 00:00:00,0.025448793037808223,0.01322700869150685,0.008196110468493152,0.003833774552328767,0.04314925869972602,0.022309412166575344,0.034656548877260274,0.014818495269589041,0.04331721219260274,0.019035790213972604,0.01036567479745597,0.004057641244031311,0.02728385505582192,0.009044612759178084,0.018351066849315065,0.0058771721443835615,0.02697411213808219,0.010537875710821919,0.06505575276471422,0.020293645139631552,0.07462728978527697,0.02695076471640262,0.016572766606666664,-0.0007057785964444445
2014-01-06 00:00:00,0.02781271477780822,0.009679728232054794,0.00780344363479452,0.0038124791320547943,0.0483381102290411,0.019890489530136987,0.03775969120712329,0.01210985820931507,0.04258085813835616,0.03121260875589041,0.011267016194716241,0.004732016153620353,0.03356636242575343,0.010770843547260276,0.02091799232410959,0.006522990020821917,0.028813750024474886,0.01807197674493151,0.08964507261620215,0.04145058888990081,0.09574426501977369,0.04098363152462182,0.018896653844444444,0.010129972981333333
2014-01-07 00:00:00,0.0275943802660274,0.010205110991780822,0.008070873466575342,0.0039646127701369865,0.04771448282986302,0.015947027363561645,0.036102671384931506,0.010231092091780821,0.04512886484383561,0.027455739190684933,0.011286513927201567,0.004940634298434442,0.030732674355787668,0.005749176881986302,0.021047421735616436,0.008831854824931507,0.029731174065388135,0.017895021826894977,0.09224718366874823,0.044637221119641,0.10653727600154857,0.0463461157269327,0.020703682950222225,0.011466371535111111
2014-01-08 00:00:00,0.027822091046301373,0.012497912998904109,0.009318525897260274,0.003513606892054795,0.04094061483863013,0.011224453739178082,0.03667339404821917,0.009853343833972603,0.04762187666438356,0.029832896629863014,0.010460702352250488,0.004947493981409002,0.030627965243356165,0.00351611562630137,0.025195107207671232,0.007654393475342466,0.033126174937168955,0.019551761656164384,0.08888369307111006,0.03946216487174303,0.10931340050949379,0.034884763383228115,0.02402460472222222,0.010091550678222223
2014-01-09 00:00:00,0.02599361560027397,0.010862230323835615,0.009112969619452056,0.0036101554578082187,0.03464612207397261,0.013977100352876711,0.03513421821205479,0.010878793428493152,0.038922775576438355,0.02343140428109589,0.009123928178082193,0.003626787698238747,0.028194770051404115,0.005402187494417809,0.024713232394246578,0.009012433570958904,0.026772155700684933,0.013138934963881282,0.08539300207161077,0.031028123409116676,0.10616413617643838,0.03269018071380585,0.02567164442266667,0.007178445238222222
2014-01-10 00:00:00,0.02367986671479452,0.01424685461561644,0.008006226304383563,0.004353951273972602,0.031633092556986306,0.02107786629972603,0.030037570747123286,0.01571893858712329,0.03552268780383561,0.01871711141369863,0.008857240984148727,0.005546653252641878,0.022286382104726027,0.008420295680479452,0.021821774320547944,0.008704166544109588,0.024530763502739732,0.008595411434429222,0.07030098935648561,0.02649647162113368,0.10003909013701015,0.02982520436185825,0.025684821586666667,0.004578885313333334
2014-01-11 00:00:00,0.025264252364931506,0.015336237106849313,0.00827650338,0.004106304877808219,0.03628399172684932,0.022547017119178083,0.03570929028575342,0.016597215129589043,0.03883853971589041,0.01753078145561644,0.00984764044109589,0.006457938572015656,0.02237756276270548,0.010483292169657535,0.02208468183561644,0.008121724537260273,0.02101324762324201,0.007529601138767126,0.07138835251255551,0.03535173640230515,0.09213328509963074,0.03911148937639071,0.02143601723511111,0.0031296907817777776
