Fecha,A3_Tmax,A3_Tmin,A4_Tmax,A4_Tmin,B3_Tmax,B3_Tmin,B4_Tmax,B4_Tmin,C1_Tmax,C1_Tmin,C2_Tmax,C2_Tmin,C3_Tmax,C3_Tmin,C4_Tmax,C4_Tmin,D1_Tmax,D1_Tmin,D2_Tmax,D2_Tmin,D3_Tmax,D3_Tmin,E1_Tmax,E1_Tmin
2014-01-01 00:00:00,1.0755251,0.6868828,0.3213974,0.1930909,1.8373,0.8179335,1.3227921,0.7996547999999999,1.4679075999999998,0.7652368,0.3832156,0.09870860000000001,1.0008278,0.40486769999999994,0.5405008,0.2894681,0.8380317999999999,0.37753929999999997,2.1708703,0.7977074999999999,2.3808146999999993,1.262967,0.4373911,0.2106867
2014-01-02 00:00:00,0.9939901,0.7739381,0.32296329999999995,0.2476296,1.7854389,1.1495258,1.3659689,1.0115805,1.5355618,0.9301202000000001,0.4834431,0.2012956,0.9752835000000001,0.6430551999999999,0.5949901999999999,0.48553219999999997,0.9011872999999999,0.5495006,2.6236679,1.5053179999999997,2.7506918,1.9062936,0.5361755,0.3014641
2014-01-03 00:00:00,1.1405968,0.7018835,0.36562609999999995,0.24409999999999998,2.0634870999999997,1.2273809000000002,1.6637110000000002,1.0944977,1.5062886,0.9169547,0.47659009999999996,0.2457506,1.1329175,0.7065981000000001,0.6500017,0.48169660000000003,0.8949483,0.5896885999999999,2.7840448000000007,1.5812816999999997,3.1863265,2.1841691,0.5683322,0.3154213
2014-01-04 00:00:00,1.1966528,0.7113743,0.3520156,0.20372279999999998,2.122515,1.0414164000000001,1.6108947,0.8923705000000001,1.2577618000000002,0.5844091,0.4036337,0.20521850000000003,1.1933007999999998,0.48434530000000003,0.6228015,0.2628906999999999,0.7547283000000001,0.3187699,2.4689448,0.6549204,2.8277452999999997,0.9473792000000001,0.43253990000000003,-0.018266400000000016
2014-01-05 00:00:00,1.0368132,0.5388836,0.333919,0.15619239999999998,1.7579505999999998,0.9089112,1.4119477999999999,0.6037226,1.5304213,0.6725451000000001,0.39590850000000005,0.15497829999999999,0.9700690000000001,0.32157840000000004,0.5701999999999999,0.1826141,0.8559983999999998,0.33440970000000003,1.9343285000000001,0.6033989999999999,2.2435597,0.8102350999999998,0.4855934999999999,-0.0206798
2014-01-06 00:00:00,1.1331221,0.39436329999999997,0.31792129999999996,0.15532479999999999,1.9693504000000002,0.8103615000000001,1.5383734,0.4933696,1.5044054999999998,1.1027589,0.43033449999999995,0.18073550000000002,1.1934416,0.38295400000000007,0.6499589,0.2026808,0.9143775999999999,0.5734974,2.6654524999999993,1.2324668,2.8784104999999998,1.2321126000000002,0.553685,0.2968152
2014-01-07 00:00:00,1.1242269,0.415768,0.32881669999999996,0.1615229,1.9439431000000003,0.6497003,1.4708645,0.4168265,1.594428,0.9700266000000001,0.43107920000000005,0.18870350000000002,1.0926907,0.20441020000000001,0.6539805,0.2744213,0.9434912000000001,0.5678818999999999,2.7428221,1.3272162,3.2028865,1.3933277999999998,0.6066322000000001,0.3359726
2014-01-08 00:00:00,1.1335041000000001,0.5091794,0.37964749999999997,0.1431484,1.6679678999999998,0.4572972,1.4941163999999998,0.40143660000000003,1.6825075,1.0540129,0.399538,0.1889655,1.0889678,0.1250144,0.7828564,0.2378355,1.0512284,0.6204569999999999,2.6428141,1.1733442,3.2863466000000003,1.0487590999999998,0.7039375,0.2956894
2014-01-09 00:00:00,1.0590099,0.4425397999999999,0.3712729,0.1470819,1.411523,0.5694431999999999,1.4314086,0.4432146,1.3751634000000001,0.8278446,0.34848100000000004,0.13852219999999998,1.0024563000000002,0.19207310000000002,0.7678837000000001,0.2800322,0.8495895,0.41695190000000004,2.539024,0.9225715,3.1916686000000003,0.9827822,0.7521969000000001,0.21033339999999998
2014-01-10 00:00:00,0.9647451,0.5804333,0.32618290000000005,0.177385,1.2887687,0.8587366000000001,1.2237653,0.6404077,1.2550363999999998,0.661286,0.33829509999999996,0.2118499,0.7923854,0.299381,0.678041,0.27045379999999997,0.7784610000000001,0.27276739999999994,2.0902872000000006,0.7878301,3.0075281,0.8966508999999998,0.752583,0.13416450000000002
2014-01-11 00:00:00,1.0292948,0.6248159999999999,0.33719429999999995,0.1672956,1.4782517000000002,0.9185915,1.4548376999999997,0.6761897000000001,1.3721873,0.6193723000000001,0.37612260000000003,0.24665570000000003,0.7956273,0.3727302,0.68621,0.2523563,0.6668358999999999,0.23894490000000004,2.1226182000000002,1.0511272,2.7698517,1.1758293999999998,0.6280901,0.0917021
2014-01-12 00:00:00,1.1738468,0.5865757,0.336835,0.22142259999999997,1.7954771999999999,0.7481042000000001,1.4513135000000001,0.783803,1.4030975,0.7003147999999999,0.4326929,0.22225869999999998,1.1176887,0.2272673,0.6048995999999999,0.2605638,0.8161387000000001,0.3109877999999999,2.2716521999999997,0.9490659000000001,2.357465,0.803213,0.5468537000000001,0.021627099999999996
2014-01-13 00:00:00,0.8985905999999999,0.5223173999999999,0.30323249999999996,0.188459,1.55279,0.8508170999999999,1.3171781,0.6175773,1.2050139,0.6485146999999999,0.39497689999999996,0.15974939999999999,0.8028764,0.4058824,0.4941576,0.26370429999999995,0.6633247999999999,0.3167451,1.8280842000000002,0.7894015999999999,2.3726716999999997,1.0923637000000002,0.363761,0.05448039999999999
