datetime,Demanda real
2014-05-07 00:00:00+00:00,662137.0
2014-05-08 00:00:00+00:00,662667.0
2014-05-09 00:00:00+00:00,659998.0
2014-05-10 00:00:00+00:00,596102.0
2014-05-11 00:00:00+00:00,551364.0
2014-05-12 00:00:00+00:00,655315.0
2014-05-13 00:00:00+00:00,668865.0
2014-05-14 00:00:00+00:00,669424.0
2014-05-15 00:00:00+00:00,651711.0
2014-05-16 00:00:00+00:00,653317.0
2014-05-17 00:00:00+00:00,581570.0
2014-05-18 00:00:00+00:00,534069.0
2014-05-19 00:00:00+00:00,646037.0
2014-05-20 00:00:00+00:00,661649.0
2014-05-21 00:00:00+00:00,666751.0
2014-05-22 00:00:00+00:00,660570.0
2014-05-23 00:00:00+00:00,656579.0
2014-05-24 00:00:00+00:00,587976.0
2014-05-25 00:00:00+00:00,531479.0
2014-05-26 00:00:00+00:00,642921.0
2014-05-27 00:00:00+00:00,658437.0
2014-05-28 00:00:00+00:00,666836.0
2014-05-29 00:00:00+00:00,664030.0
2014-05-30 00:00:00+00:00,654017.0
2014-05-31 00:00:00+00:00,584297.0
2014-06-01 00:00:00+00:00,534120.0
2014-06-02 00:00:00+00:00,640674.0
2014-06-03 00:00:00+00:00,663305.0
2014-06-04 00:00:00+00:00,669862.0
2014-06-05 00:00:00+00:00,671772.0
2014-06-06 00:00:00+00:00,680511.0
2014-06-07 00:00:00+00:00,608761.0
2014-06-08 00:00:00+00:00,555837.0
2014-06-09 00:00:00+00:00,653789.0
2014-06-10 00:00:00+00:00,681188.0
2014-06-11 00:00:00+00:00,694306.0
2014-06-12 00:00:00+00:00,707411.0
2014-06-13 00:00:00+00:00,715312.0
2014-06-14 00:00:00+00:00,642947.0
2014-06-15 00:00:00+00:00,575876.0
2014-06-16 00:00:00+00:00,678496.0
2014-06-17 00:00:00+00:00,693836.0
2014-06-18 00:00:00+00:00,692269.0
2014-06-19 00:00:00+00:00,674387.0
2014-06-20 00:00:00+00:00,684519.0
2014-06-21 00:00:00+00:00,621352.0
2014-06-22 00:00:00+00:00,567597.0
2014-06-23 00:00:00+00:00,662915.0
2014-06-24 00:00:00+00:00,635687.0
2014-06-25 00:00:00+00:00,669291.0
2014-06-26 00:00:00+00:00,683943.0
2014-06-27 00:00:00+00:00,690350.0
2014-06-28 00:00:00+00:00,631607.0
2014-06-29 00:00:00+00:00,564095.0
2014-06-30 00:00:00+00:00,668971.0
2014-07-01 00:00:00+00:00,698246.0
2014-07-02 00:00:00+00:00,690524.0
2014-07-03 00:00:00+00:00,680314.0
2014-07-04 00:00:00+00:00,677154.0
2014-07-05 00:00:00+00:00,623548.0
2014-07-06 00:00:00+00:00,572270.0
2014-07-07 00:00:00+00:00,665916.0
2014-07-08 00:00:00+00:00,688545.0
2014-07-09 00:00:00+00:00,697881.0
2014-07-10 00:00:00+00:00,697422.0
2014-07-11 00:00:00+00:00,694983.0
2014-07-12 00:00:00+00:00,617780.0
2014-07-13 00:00:00+00:00,565861.0
2014-07-14 00:00:00+00:00,702561.0
2014-07-15 00:00:00+00:00,734494.0
2014-07-16 00:00:00+00:00,748658.0
2014-07-17 00:00:00+00:00,759106.0
2014-07-18 00:00:00+00:00,745540.0
2014-07-19 00:00:00+00:00,643148.0
2014-07-20 00:00:00+00:00,575135.0
2014-07-21 00:00:00+00:00,694468.0
2014-07-22 00:00:00+00:00,718507.0
2014-07-23 00:00:00+00:00,733779.0
2014-07-24 00:00:00+00:00,735043.0
2014-07-25 00:00:00+00:00,709110.0
2014-07-26 00:00:00+00:00,648508.0
2014-07-27 00:00:00+00:00,594222.0
2014-07-28 00:00:00+00:00,708494.0
2014-07-29 00:00:00+00:00,700125.0
2014-07-30 00:00:00+00:00,696923.0
2014-07-31 00:00:00+00:00,693113.0
2014-08-01 00:00:00+00:00,693707.0
2014-08-02 00:00:00+00:00,610459.0
2014-08-03 00:00:00+00:00,562290.0
2014-08-04 00:00:00+00:00,667607.0
2014-08-05 00:00:00+00:00,682989.0
2014-08-06 00:00:00+00:00,692406.0
2014-08-07 00:00:00+00:00,702122.0
2014-08-08 00:00:00+00:00,699674.0
2014-08-09 00:00:00+00:00,631961.0
2014-08-10 00:00:00+00:00,581494.0
2014-08-11 00:00:00+00:00,675190.0
2014-08-12 00:00:00+00:00,683792.0
2014-08-13 00:00:00+00:00,674396.0
2014-08-14 00:00:00+00:00,648219.0
2014-08-15 00:00:00+00:00,576400.0
2014-08-16 00:00:00+00:00,579742.0
