datetime,Previsión diaria D+1 demanda
2019-01-01 00:00:00+00:00,554520.0
2019-01-02 00:00:00+00:00,708859.0
2019-01-03 00:00:00+00:00,770397.0
2019-01-04 00:00:00+00:00,752240.0
2019-01-05 00:00:00+00:00,673904.0
2019-01-06 00:00:00+00:00,622977.0
2019-01-07 00:00:00+00:00,716848.0
2019-01-08 00:00:00+00:00,790752.0
2019-01-09 00:00:00+00:00,799745.0
2019-01-10 00:00:00+00:00,815471.0
2019-01-11 00:00:00+00:00,818191.0
2019-01-12 00:00:00+00:00,739401.0
2019-01-13 00:00:00+00:00,676060.0
2019-01-14 00:00:00+00:00,794505.0
2019-01-15 00:00:00+00:00,820356.0
2019-01-16 00:00:00+00:00,810327.0
2019-01-17 00:00:00+00:00,816373.0
2019-01-18 00:00:00+00:00,810132.0
2019-01-19 00:00:00+00:00,729740.0
2019-01-20 00:00:00+00:00,676160.0
2019-01-21 00:00:00+00:00,794470.0
2019-01-22 00:00:00+00:00,823618.0
2019-01-23 00:00:00+00:00,816301.0
2019-01-24 00:00:00+00:00,804314.0
2019-01-25 00:00:00+00:00,783332.0
2019-01-26 00:00:00+00:00,701948.0
2019-01-27 00:00:00+00:00,648129.0
2019-01-28 00:00:00+00:00,769829.0
2019-01-29 00:00:00+00:00,795736.0
2019-01-30 00:00:00+00:00,792273.0
2019-01-31 00:00:00+00:00,776591.0
2019-02-01 00:00:00+00:00,770437.0
2019-02-02 00:00:00+00:00,699808.0
2019-02-03 00:00:00+00:00,673279.0
2019-02-04 00:00:00+00:00,794564.0
2019-02-05 00:00:00+00:00,802594.0
2019-02-06 00:00:00+00:00,784111.0
2019-02-07 00:00:00+00:00,776479.0
2019-02-08 00:00:00+00:00,763252.0
2019-02-09 00:00:00+00:00,683988.0
2019-02-10 00:00:00+00:00,630041.0
2019-02-11 00:00:00+00:00,754507.0
2019-02-12 00:00:00+00:00,775341.0
2019-02-13 00:00:00+00:00,768365.0
2019-02-14 00:00:00+00:00,762365.0
2019-02-15 00:00:00+00:00,751561.0
2019-02-16 00:00:00+00:00,669695.0
2019-02-17 00:00:00+00:00,623261.0
2019-02-18 00:00:00+00:00,740160.0
2019-02-19 00:00:00+00:00,760238.0
2019-02-20 00:00:00+00:00,755041.0
2019-02-21 00:00:00+00:00,741571.0
2019-02-22 00:00:00+00:00,732599.0
2019-02-23 00:00:00+00:00,650816.0
2019-02-24 00:00:00+00:00,603904.0
2019-02-25 00:00:00+00:00,716400.0
2019-02-26 00:00:00+00:00,728334.0
2019-02-27 00:00:00+00:00,720022.0
2019-02-28 00:00:00+00:00,698838.0
2019-03-01 00:00:00+00:00,706766.0
2019-03-02 00:00:00+00:00,637266.0
2019-03-03 00:00:00+00:00,592323.0
2019-03-04 00:00:00+00:00,694724.0
2019-03-05 00:00:00+00:00,696494.0
2019-03-06 00:00:00+00:00,714260.0
2019-03-07 00:00:00+00:00,725734.0
2019-03-08 00:00:00+00:00,729651.0
2019-03-09 00:00:00+00:00,636988.0
2019-03-10 00:00:00+00:00,587594.0
2019-03-11 00:00:00+00:00,696271.0
2019-03-12 00:00:00+00:00,704179.0
2019-03-13 00:00:00+00:00,711823.0
2019-03-14 00:00:00+00:00,714937.0
2019-03-15 00:00:00+00:00,702149.0
2019-03-16 00:00:00+00:00,622473.0
2019-03-17 00:00:00+00:00,578604.0
2019-03-18 00:00:00+00:00,683830.0
2019-03-19 00:00:00+00:00,679320.0
2019-03-20 00:00:00+00:00,711194.0
2019-03-21 00:00:00+00:00,716329.0
2019-03-22 00:00:00+00:00,699172.0
2019-03-23 00:00:00+00:00,628595.0
2019-03-24 00:00:00+00:00,580439.0
2019-03-25 00:00:00+00:00,676437.0
2019-03-26 00:00:00+00:00,695590.0
2019-03-27 00:00:00+00:00,702763.0
2019-03-28 00:00:00+00:00,699555.0
