Fecha,DemReal,N_ano,Clasif_dia,Lab_previo_fest,Lab_post_fest,Huelga_General,A3_TmaxC,A3_TminC,A4_TmaxC,A4_TminC,B3_TmaxC,B3_TminC,B4_TmaxC,B4_TminC,C1_TmaxC,C1_TminC,C2_TmaxC,C2_TminC,C3_TmaxC,C3_TminC,C4_TmaxC,C4_TminC,D1_TmaxC,D1_TminC,D2_TmaxC,D2_TminC,D3_TmaxC,D3_TminC,E1_TmaxC,E1_TminC,Ind_Indust1,Ind_Indust2,Ind_Indust3,Ind_Indust4,Ind_Indust5,Ind_Indust6,Ind_Indust7,Ind_Indust8,Ind_Indust9,Ind_Indust10,Ind_Indust11,Ind_Indust12,Ind_Indust13,Ind_Indust14,Ind_Indust15,Ind_Indust16,Ind_Indust17,Ind_Indust18,Ind_Indust19,Ind_Indust20,Ind_Indust21,Ind_Indust22,Ind_Indust23,Ind_Indust24,Ind_Indust25,Ind_Indust26,Ind_Indust27,Ind_Indust28,Ind_Indust30,Ind_Indust31,Ind_Indust32,Ind_Indust33,Ind_Indust34,Ind_Indust35,Ind_Indust36,Ind_Indust37,Ind_Indust38,Ind_Indust39,Ind_Indust40,Ind_Indust41,Ind_Indust42,Ind_Indust45,Ind_Indust46,Ind_Indust47,Ind_Indust48,Ind_Indust49,Ind_Indust50,Ind_Indust51,Ind_Indust52,Ind_Indust53,Ind_Indust54,Ind_Indust55,Ind_Indust56,Ind_Serv1,Ind_Serv2,Ind_Serv3,Ind_Serv4,Ind_Serv5,Ind_Serv6,Ind_Serv7,Ind_Serv8,Ind_Serv9,Ind_Serv10,Ind_Empleo1,Ind_Empleo2,Ind_Empleo3,Ind_Empleo4,Ind_Cemento,Ind_Precios1,Ind_Precios2,Ind_Precios3,Ind_Precios4,Ind_Precios5,Ind_Precios6,Ind_Precios7,Ind_Precios8,Ind_Precios9,Ind_Precios10,Ind_Precios11,Ind_Precios12,Ind_Precios13,Ind_Precios14,Ind_Fabr1,Ind_Fabr2,Dia_sem_SIN,Dia_sem_COS,N_mes_SIN,N_mes_COS,N_semana_SIN,N_semana_COS,N_dia_mes_SIN,N_dia_mes_COS
2018-05-30,672775.0,2018,Laborable,0,0,0,0.0345972231156164,0.0221255513958904,0.0106841155857534,0.0065529660509589,0.0640320151610958,0.0415757171213698,0.051470225719452,0.0304318575643835,0.0466872636441095,0.0342328780210959,0.0166652829845401,0.0118390771,0.0419538269942123,0.0237966666964726,0.0301117094610958,0.0171942930931506,0.0348282981647032,0.0232985579173972,0.1253173509370335,0.0802945230149551,0.1521450984992495,0.0899255635868493,0.0333772990848888,0.0185974356368888,114.263,106.356,104.304,80.436,122.157,117.22,106.487,101.357,49.441,112.876,104.379,98.966,96.859,125.394,107.882,99.676,98.656,107.1,103.881,114.801,111.425,122.267,111.268,103.498,94.727,110.621,106.033,116.5,103.167,125.595,111.207,117.638,120.871,118.876,106.845,111.7,111.207,121.85,111.444,121.667,133.818,134.477,105.317,100.401,103.247,100.161,113.409,111.268,94.706,86.878,108.485,93.478,89.436,113.577,113.457,128.031,116.92,101.836,113.85,113.553,105.71,108.766,126.967,18659703.0,4583786.0,297657.0,3038211.0,1305.08,103.174,102.316,103.571,105.498,103.371,99.82,100.865,106.802,104.241,100.364,101.454,103.391,101.655,103.174,117.0,182.0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,-0.3943558551133187,0.9189578116202306
2018-05-31,667027.0,2018,Laborable,0,0,0,0.0367035085608219,0.0218997011421917,0.0116286960917808,0.0066408575227397,0.0655878792824657,0.0385162063487671,0.0571897175915068,0.0274633064142465,0.0466944302446575,0.0341547728306849,0.0168862904499021,0.0105428745469667,0.0456596869287671,0.0214162071637671,0.0337146849339726,0.0149898929117808,0.0359294143619178,0.0238321200877625,0.1373102828055456,0.0784115797139537,0.1821154721119238,0.0941351824733293,0.0349305457728888,0.0182504608751111,114.263,106.356,104.304,80.436,122.157,117.22,106.487,101.357,49.441,112.876,104.379,98.966,96.859,125.394,107.882,99.676,98.656,107.1,103.881,114.801,111.425,122.267,111.268,103.498,94.727,110.621,106.033,116.5,103.167,125.595,111.207,117.638,120.871,118.876,106.845,111.7,111.207,121.85,111.444,121.667,133.818,134.477,105.317,100.401,103.247,100.161,113.409,111.268,94.706,86.878,108.485,93.478,89.436,113.577,113.457,128.031,116.92,101.836,113.85,113.553,105.71,108.766,126.967,18659703.0,4583786.0,297657.0,3038211.0,1305.08,103.174,102.316,103.571,105.498,103.371,99.82,100.865,106.802,104.241,100.364,101.454,103.391,101.655,103.174,117.0,182.0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,-0.20129852008866028,0.9795299412524945
2018-06-01,667599.0,2018,Laborable,0,0,0,0.0336807910512328,0.0222249889323287,0.0113261371619178,0.0067965747608219,0.0649996239789041,0.0412851607969863,0.0549702296586301,0.0295387287180821,0.0473127108753424,0.0334846900186301,0.0172642956365949,0.0116396252720156,0.0458529047591095,0.022634572459041,0.0341253375254794,0.0159339622906849,0.0371717951307762,0.0239036583399086,0.1448369640921398,0.0816896680270288,0.1892619451392496,0.0977526885733889,0.0381251087466666,0.0178865445328888,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,-0.433883739117558,-0.9009688679024191,0.5000000000000003,-0.8660254037844385,0.5680647467311558,-0.8229838658936564,0.0,1.0
2018-06-02,597082.0,2018,Laborable,0,0,0,0.0341139599284931,0.0209964253079452,0.0110486977953424,0.0069656887720547,0.0603726072939726,0.0422280550473972,0.0503455668589041,0.0302353142860273,0.0555707999709589,0.0351443099756164,0.016849091069863,0.0118978321174168,0.0400396266285958,0.0229075659821232,0.0318969992109589,0.0152094845712328,0.0424028793497716,0.0246607531265296,0.1431282289404629,0.0827438025542843,0.1791391116311852,0.0980632276308993,0.0412579871666666,0.0193747415586666,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,0.5680647467311558,-0.8229838658936564,0.20791169081775931,0.9781476007338057
2018-06-03,545906.0,2018,No Laborable,0,0,0,0.0382503965005479,0.0199357901613698,0.0109523357731506,0.0065742344715068,0.0617423353041095,0.0386033418282191,0.0552754762884931,0.0305525046128767,0.048664860459452,0.0344820843843835,0.0151391396690802,0.0111270786620352,0.0431992829492123,0.0220342128387671,0.0336114529416438,0.0159007134531506,0.038258964173379,0.0246533005687671,0.1259480054240906,0.0782675564779499,0.1855165997564503,0.0886899468418821,0.0388351432155555,0.0194115734555555,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,-0.7818314824680299,0.6234898018587334,0.5000000000000003,-0.8660254037844385,0.5680647467311558,-0.8229838658936564,0.40673664307580015,0.9135454576426009
2018-06-04,659461.0,2018,Laborable,0,0,0,0.0362590660706849,0.0238579888164383,0.0105536013646575,0.0067238571350684,0.0695798550476712,0.0413598469482191,0.0542718302,0.0299818899484931,0.0447390549857534,0.0331485447523287,0.0164117758074364,0.0100292518569471,0.0464021571972945,0.0230447715109246,0.0302144232980821,0.0163887353268493,0.0329025792971689,0.0230614562889954,0.1252394822687198,0.0752566593001133,0.1627357879247409,0.0936897956411912,0.0306897105168888,0.0168486986733333,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,0.0,1.0,0.5000000000000003,-0.8660254037844385,0.4647231720437687,-0.8854560256532098,0.5877852522924731,0.8090169943749475
2018-06-05,677511.0,2018,Laborable,0,0,0,0.0341953861931506,0.0241858023082191,0.0102657671035616,0.0068192741668493,0.0658238200701369,0.0447847008317808,0.0500082666452054,0.032705497129589,0.0449246563539726,0.0309337028904109,0.0168116324880626,0.011379334339726,0.0404343931171575,0.0263777692403424,0.0284700774753424,0.0172604689326027,0.0325024415446575,0.0210498896281735,0.1207738404299008,0.0791473483270193,0.1558426517551162,0.0939153579819178,0.0287777521422222,0.0140702897191111,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,0.7818314824680298,0.6234898018587336,0.5000000000000003,-0.8660254037844385,0.4647231720437687,-0.8854560256532098,0.7431448254773941,0.6691306063588582
2018-06-06,675268.0,2018,Laborable,0,0,0,0.0352059245753424,0.0231496657312328,0.0106397206726027,0.0066941378002739,0.0607743853079452,0.0396228662101369,0.0522526630526027,0.0314078117520547,0.0506436375561643,0.031731321189863,0.0166787483851272,0.0106388655992172,0.039821295374178,0.0232043144586986,0.0316117530857534,0.0184702651065753,0.0368811044126027,0.0208430677577168,0.1183376471855833,0.070174471688597,0.1539100609485646,0.0857425516897439,0.0332012793404444,0.0135776016662222,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,0.9749279121818236,-0.22252093395631434,0.5000000000000003,-0.8660254037844385,0.4647231720437687,-0.8854560256532098,0.8660254037844386,0.5000000000000001
2018-06-07,672603.0,2018,Laborable,0,0,0,0.0370879478416438,0.0236454911545205,0.0102339295175342,0.0066853285260273,0.065958747519178,0.0352601302071232,0.0535755980830136,0.0279233277463013,0.0529226872906849,0.0366208249868493,0.0169757569487279,0.0110075107223091,0.0456717978486986,0.0208045410181506,0.0330004995175342,0.0170851425438356,0.0401623663330593,0.0255701636983561,0.1245669590367123,0.0776509333511572,0.1844970554483859,0.0876416134985586,0.0351802736786666,0.0180465817186666,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,0.43388373911755823,-0.900968867902419,0.5000000000000003,-0.8660254037844385,0.4647231720437687,-0.8854560256532098,0.9510565162951535,0.30901699437494745
2018-06-08,674077.0,2018,Laborable,0,0,0,0.0337829531054794,0.022695198979178,0.0107999517739726,0.0075249095520547,0.0661086917249315,0.0416852157375342,0.0470832439624657,0.0311383937586301,0.054124312789589,0.0354851367416438,0.0168266269172211,0.0104852872465753,0.0470837437956506,0.0254269832738013,0.031999983389863,0.0194706203164383,0.0407390272909589,0.0243118379221917,0.1324417135733585,0.0804872456988568,0.1585778662290173,0.1019686806304705,0.034781692624,0.0191358052075555,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,-0.433883739117558,-0.9009688679024191,0.5000000000000003,-0.8660254037844385,0.4647231720437687,-0.8854560256532098,0.9945218953682733,0.10452846326765368
2018-06-09,601446.0,2018,Laborable,0,0,0,0.0361761670936986,0.0239456986536986,0.0104384450786301,0.0073671354257534,0.0653805778405479,0.0442272988515068,0.0531258906463013,0.0302276095460273,0.0506070601553424,0.0334211586142465,0.0183499818500978,0.0114515914125244,0.0434309345280137,0.0245357281319863,0.0303049749671232,0.0176686176430137,0.0378723008973972,0.0246682498009132,0.1387191531247237,0.092389481572102,0.1677289375770816,0.093374959017701,0.0330028539804444,0.0171653942848888,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,0.4647231720437687,-0.8854560256532098,0.9945218953682734,-0.10452846326765333
2018-06-10,556024.0,2018,No Laborable,0,0,0,0.0366522974441095,0.0229864401147945,0.0109515429630136,0.0070423311761643,0.0667858276720548,0.046099663579452,0.0532858689320548,0.0330052063610958,0.054124516579178,0.0334372976175342,0.0201973494573385,0.0128502912438356,0.0460972044584246,0.0262830475586301,0.0308543708928767,0.0167861669112328,0.039751892686484,0.0215030681638812,0.1470505087072934,0.0879067882000755,0.1585174441810125,0.0885604477407028,0.0317824424555555,0.0170542433195555,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,-0.7818314824680299,0.6234898018587334,0.5000000000000003,-0.8660254037844385,0.4647231720437687,-0.8854560256532098,0.9510565162951536,-0.30901699437494734
2018-06-11,668274.0,2018,Laborable,0,0,0,0.0369352864816438,0.0244210901934246,0.010846970569589,0.0073550370939726,0.0719685527180822,0.0459147596375342,0.0546764947301369,0.0339761263271232,0.0483035698221917,0.0356698125654794,0.0173044980915851,0.0111911826612524,0.0455504017673972,0.0269040120556849,0.0319188743778082,0.0186850421052054,0.0356020060103196,0.0217417233275799,0.1380120357959565,0.0885395648799244,0.1661725733922573,0.0949835259892793,0.034249752936,0.0177180331439999,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,0.0,1.0,0.5000000000000003,-0.8660254037844385,0.35460488704253584,-0.9350162426854147,0.8660254037844387,-0.4999999999999998
2018-06-12,688643.0,2018,Laborable,0,0,0,0.0385174483361643,0.0244932408249315,0.0111815879923287,0.0070649520375342,0.0714507912446575,0.0466901623147945,0.0603242164213698,0.0320216038873972,0.0498312473419178,0.0378192606126027,0.0196964957268101,0.0131929219356164,0.0493195529307534,0.0247612820622945,0.0375873007230137,0.0179322492882191,0.0337122737007762,0.0235815534363927,0.1387261250829759,0.0858295246849409,0.1894354577025372,0.09659103520081,0.03736570684,0.0190010438768888,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,0.7818314824680298,0.6234898018587336,0.5000000000000003,-0.8660254037844385,0.35460488704253584,-0.9350162426854147,0.7431448254773945,-0.6691306063588579
2018-06-13,693876.0,2018,Laborable,0,0,0,0.040582917559178,0.026644733629589,0.0115987779408219,0.0071254608780821,0.0732004176726027,0.046897193759452,0.0627728191202739,0.0342543143224657,0.0525950926958904,0.0335298492254794,0.0207666664894324,0.0117958637154598,0.0511554232638356,0.0258312478061643,0.0408203293731506,0.018259440249315,0.0341236044702739,0.0224313448935616,0.1498205117791119,0.077100273088427,0.1949153000495057,0.1006419634698273,0.0372720162142222,0.0161764790133333,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,0.9749279121818236,-0.22252093395631434,0.5000000000000003,-0.8660254037844385,0.35460488704253584,-0.9350162426854147,0.5877852522924732,-0.8090169943749473
2018-06-14,694988.0,2018,Laborable,0,0,0,0.0401827006202739,0.0254360737123287,0.0123356151912328,0.007720154389041,0.0705243692816438,0.0443745651753424,0.0622892073912328,0.0332793493065753,0.0562338265684931,0.0321126426454794,0.0175520829011741,0.0116184676009784,0.0502572182652739,0.0253348013414383,0.0422465825276712,0.0197787006786301,0.0390332171743835,0.0217393946002283,0.1454186837057912,0.0766612213324988,0.2066635747955688,0.0964524619819892,0.0430254472386666,0.0148488379324444,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,0.43388373911755823,-0.900968867902419,0.5000000000000003,-0.8660254037844385,0.35460488704253584,-0.9350162426854147,0.40673664307580043,-0.9135454576426008
2018-06-15,692799.0,2018,Laborable,0,0,0,0.0387430089564383,0.0238508977065753,0.0128345946734246,0.0085058660526027,0.0699228325673972,0.0424920927317808,0.0665380978221917,0.0326621036608219,0.0530937912939726,0.0336598952873972,0.0178694977125244,0.0114728695207436,0.0527408034343493,0.0254953174379109,0.0462835372375342,0.0206931257789041,0.0353048459047945,0.020874976679452,0.1557833522244119,0.0874279394436655,0.2307660478279452,0.1083448715028469,0.0463104483551111,0.0197277161791111,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,-0.433883739117558,-0.9009688679024191,0.5000000000000003,-0.8660254037844385,0.35460488704253584,-0.9350162426854147,0.20791169081775973,-0.9781476007338056
2018-06-16,629562.0,2018,Laborable,0,0,0,0.0390921375046575,0.0235632622616438,0.0141643459073972,0.0079902400120547,0.0703039557909589,0.0461704347704109,0.0678935257956164,0.0370250114802739,0.0561360896476712,0.0330420363879452,0.0179014528387475,0.0121472627577299,0.0521741524474657,0.0281881436400342,0.0475391080912328,0.0235401383539726,0.0394270903667123,0.0238993254574885,0.1579779652655172,0.091791487329419,0.2351136378748541,0.1280097949899226,0.047776618596,0.0208380756888888,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,0.35460488704253584,-0.9350162426854147,1.2246467991473532e-16,-1.0
2018-06-17,583533.0,2018,No Laborable,0,0,0,0.0438375308065753,0.0252726983701369,0.0153900622879452,0.0087877382832876,0.0724676941986301,0.0459264137010958,0.07035914814,0.0372470302273972,0.0593658432887671,0.034937370139178,0.0180060708587084,0.0129885321831702,0.0550489096425685,0.0286765686594178,0.0495791178580821,0.0250819658967123,0.041092057945799,0.023701887822557,0.1558597881603495,0.0907616218087954,0.2389828343193329,0.1242891506326385,0.0488606203648888,0.0205136669484444,122.891,114.322,116.391,93.257,137.042,129.499,114.19,119.328,62.091,127.125,93.821,96.966,104.012,132.113,114.374,123.416,101.54,114.412,110.684,123.68,122.623,128.142,117.937,111.597,106.12,118.159,126.825,126.736,112.336,137.906,119.477,126.116,132.72,131.088,111.544,117.164,116.869,135.765,127.525,140.109,136.787,137.429,112.755,108.279,118.305,107.436,123.626,121.772,94.554,96.33,117.885,90.494,101.604,120.682,120.836,138.832,125.051,106.685,120.452,120.657,118.508,113.623,128.568,18832943.0,4465883.0,294974.0,2957156.0,1466.44,104.104,103.031,103.815,108.191,105.215,100.052,101.134,108.759,104.318,100.324,101.458,103.85,101.784,104.104,108.0,170.0,-0.7818314824680299,0.6234898018587334,0.5000000000000003,-0.8660254037844385,0.35460488704253584,-0.9350162426854147,-0.20791169081775907,-0.9781476007338057
